,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time
127,0.9550000000000001,FgMDM,13,0,9,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
128,0.69,ensemble-noDR,13,0,9,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
129,0.71,cov+elasticnet,13,0,9,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
130,0.515,imcoh+elasticnet,13,0,9,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
131,0.615,instantaneous+elasticnet,13,0,9,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
132,0.835,ensemble-noDR,13,0,9,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
133,0.8500000000000001,cov+elasticnet,13,0,9,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
134,0.605,imcoh+elasticnet,13,0,9,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
135,0.72,instantaneous+elasticnet,13,0,9,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
136,0.9099999999999999,ensemble-noDR,13,0,9,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
137,0.935,cov+elasticnet,13,0,9,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
138,0.6799999999999999,imcoh+elasticnet,13,0,9,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
139,0.7749999999999999,instantaneous+elasticnet,13,0,9,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
140,0.495,RegCSP+shLDA,13,0,10,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
141,0.485,RegCSP+shLDA,13,0,10,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
142,0.485,RegCSP+shLDA,13,0,10,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
143,0.545,CSP+optSVM,13,0,10,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
144,0.54,CSP+optSVM,13,0,10,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
145,0.505,CSP+optSVM,13,0,10,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
146,0.57,FgMDM,13,0,10,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
147,0.64,FgMDM,13,0,10,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
148,0.6499999999999999,FgMDM,13,0,10,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
149,0.58,ensemble-noDR,13,0,10,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
150,0.615,cov+elasticnet,13,0,10,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
151,0.615,imcoh+elasticnet,13,0,10,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
152,0.535,instantaneous+elasticnet,13,0,10,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
153,0.645,ensemble-noDR,13,0,10,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
154,0.66,cov+elasticnet,13,0,10,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
155,0.5700000000000001,imcoh+elasticnet,13,0,10,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
156,0.585,instantaneous+elasticnet,13,0,10,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
157,0.6950000000000001,ensemble-noDR,13,0,10,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
158,0.66,cov+elasticnet,13,0,10,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
159,0.54,imcoh+elasticnet,13,0,10,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
160,0.6499999999999999,instantaneous+elasticnet,13,0,10,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
161,0.875,RegCSP+shLDA,13,0,11,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
162,0.515,RegCSP+shLDA,13,0,11,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
163,0.7,RegCSP+shLDA,13,0,11,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
164,0.885,CSP+optSVM,13,0,11,session_A,13,1,defaultBand,001-2015,8,35,600,0.0
165,0.515,CSP+optSVM,13,0,11,session_B,13,1,defaultBand,001-2015,8,35,600,0.0
166,0.645,CSP+optSVM,13,0,11,session_C,13,1,defaultBand,001-2015,8,35,600,0.0
