,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
17,0.78125,ensemble-noDR,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
18,0.75,cov+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
19,0.53125,imcoh+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
20,0.78125,instantaneous+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
21,0.84375,RegCSP+shLDA,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
22,0.8125,CSP+optSVM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
23,0.90625,FgMDM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
24,0.9375,ensemble-noDR,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
25,0.9375,cov+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
26,0.65625,imcoh+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
27,0.875,instantaneous+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
28,0.78125,RegCSP+shLDA,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,4
29,0.8125,CSP+optSVM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,4
30,0.6875,FgMDM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,4
31,0.8125,ensemble-noDR,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,4
32,0.8125,cov+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,4
33,0.53125,imcoh+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,4
34,0.875,instantaneous+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,4
35,0.875,RegCSP+shLDA,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
36,0.875,CSP+optSVM,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
37,0.875,FgMDM,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
38,0.90625,ensemble-noDR,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
39,0.90625,cov+elasticnet,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
40,0.5625,imcoh+elasticnet,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
41,0.90625,instantaneous+elasticnet,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
42,0.84375,RegCSP+shLDA,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
43,0.84375,CSP+optSVM,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
44,0.90625,FgMDM,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
45,0.90625,ensemble-noDR,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
46,0.90625,cov+elasticnet,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
47,0.65625,imcoh+elasticnet,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
48,0.90625,instantaneous+elasticnet,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
49,0.71875,RegCSP+shLDA,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
50,0.6875,CSP+optSVM,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
51,0.71875,FgMDM,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
52,0.6875,ensemble-noDR,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
53,0.71875,cov+elasticnet,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
54,0.53125,imcoh+elasticnet,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
55,0.6875,instantaneous+elasticnet,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
56,0.84375,RegCSP+shLDA,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
57,0.875,CSP+optSVM,15,0,2,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
