,score,kappa,accuracy,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
64,0.7250000000000001,0.44999999999999996,0.7250000000000001,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
65,0.6,0.19999999999999996,0.6,wpli2_debiased+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
66,0.95,0.9,0.95,TRCSP+LDA,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
67,1.0,1.0,1.0,RegCSP+shLDA,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
68,1.0,1.0,1.0,CSP+optSVM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
69,1.0,1.0,1.0,FgMDM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
70,1.0,1.0,1.0,ensemble-noDR_best,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
71,1.0,1.0,1.0,cov+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
72,0.575,0.15000000000000002,0.575,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
73,0.725,0.44999999999999996,0.725,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
74,0.575,0.15000000000000002,0.575,wpli2_debiased+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
75,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
76,0.9249999999999999,0.85,0.925,ensemble-noDR_2,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
77,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
78,0.575,0.15000000000000002,0.575,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
79,0.9500000000000001,0.9,0.95,ensemble-noDR_3,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
80,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
81,0.575,0.15000000000000002,0.575,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
82,0.725,0.44999999999999996,0.725,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
83,0.9500000000000001,0.9,0.95,ensemble-noDR_4,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
84,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
85,0.575,0.15000000000000002,0.575,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
86,0.725,0.44999999999999996,0.725,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
87,0.575,0.15000000000000002,0.575,wpli2_debiased+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
88,0.825,0.65,0.825,TRCSP+LDA,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
89,0.9249999999999999,0.85,0.925,RegCSP+shLDA,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
90,0.9249999999999999,0.85,0.925,CSP+optSVM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
91,0.9249999999999999,0.85,0.925,FgMDM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
92,0.9500000000000001,0.9,0.95,ensemble-noDR_best,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
93,0.975,0.95,0.975,cov+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
94,0.65,0.30000000000000004,0.6499999999999999,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
95,0.775,0.55,0.775,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
96,0.6,0.19999999999999996,0.6,wpli2_debiased+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
97,0.85,0.7,0.85,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
98,0.8,0.6,0.8,ensemble-noDR_2,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
99,0.85,0.7,0.85,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
100,0.65,0.30000000000000004,0.6499999999999999,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
101,0.8,0.6,0.8,ensemble-noDR_3,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
102,0.85,0.7,0.85,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
103,0.65,0.30000000000000004,0.6499999999999999,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
104,0.775,0.55,0.775,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
105,0.8,0.6,0.8,ensemble-noDR_4,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
106,0.85,0.7,0.85,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
107,0.65,0.30000000000000004,0.6499999999999999,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
108,0.775,0.55,0.775,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
109,0.6,0.19999999999999996,0.6,wpli2_debiased+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
110,0.775,0.55,0.775,TRCSP+LDA,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
111,1.0,1.0,1.0,RegCSP+shLDA,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
112,1.0,1.0,1.0,CSP+optSVM,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
113,1.0,1.0,1.0,FgMDM,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
114,1.0,1.0,1.0,ensemble-noDR_best,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
115,1.0,1.0,1.0,cov+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
116,0.775,0.55,0.775,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
117,0.9249999999999999,0.85,0.925,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
118,0.6499999999999999,0.30000000000000004,0.65,wpli2_debiased+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
119,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
120,0.9500000000000001,0.9,0.95,ensemble-noDR_2,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
121,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
122,0.775,0.55,0.775,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
123,0.9500000000000001,0.9,0.95,ensemble-noDR_3,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
124,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
125,0.775,0.55,0.775,imcoh+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
126,0.9249999999999999,0.85,0.925,plv+elasticnet,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
127,0.9500000000000001,0.9,0.95,ensemble-noDR_4,64,0,43,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
