,score,time,samples,fmin,fmax,thres,n_dr,subject,session,channels,n_sessions,dataset,pipeline,FreqBand
5,0.594,15.339405,200.0,4.0,8.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,theta
6,0.64618057,18.465359,240.0,4.0,8.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,theta
7,0.4875,15.238942,200.0,4.0,8.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,theta
8,0.5115,15.347391,200.0,4.0,8.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,theta
9,0.554,14.636712,200.0,4.0,8.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,theta
10,0.6885,10.681176,200.0,4.0,8.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,theta
11,0.6885,14.228559,200.0,4.0,8.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,theta
12,0.556,10.707242,200.0,4.0,8.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,theta
13,0.4565,10.988509,200.0,4.0,8.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,theta
14,0.546,10.569976,200.0,4.0,8.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,theta
15,0.6075,11.454938,200.0,4.0,8.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,theta
16,0.41631943,12.508051,240.0,4.0,8.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,theta
17,0.552,11.2894,200.0,4.0,8.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,theta
18,0.5215,10.387161,200.0,4.0,8.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,theta
19,0.605,13.607007,200.0,4.0,8.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,theta
20,0.58,5.95506,200.0,4.0,8.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,theta
21,0.768,6.391812,200.0,4.0,8.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,lagged+elasticnet,theta
